id deudor,Fecha carga DL,operation_id,amount,payment_method,anual_sales_volume,mean_time,invoice_mean_val,entity_type,relationship_years,creation_date,payment_date,city,industry,result
15,2022-06-23,15,18831.54,'cheque',474000,60 días,Entre USD 5000 y USD 20000,persona jurídica,9,2022-06-13,2023-04-08,23.0,13.0,Rechazada
6,2022-08-03,16,39964.0,'cheque',286000,30 días,Más de USD 100000,persona natural,1,2022-07-24,2022-11-15,19.0,6.0,Aceptada
17,2021-06-26,17,6666.29,'cheque',177000,30 días,Entre USD 5000 y USD 20000,persona jurídica,7,2021-06-16,2021-06-16,,2.0,Aceptada
18,2022-02-20,18,5849.0,'transferencia bancaria',36000,60 días,Entre USD 1000 y USD 5000,persona jurídica,7,2022-02-10,2022-04-21,10.0,7.0,Aceptada
19,2022-06-17,19,34809.79,'cheque',281000,120 días,Más de USD 100000,persona natural,3,2022-06-07,2022-09-23,6.0,18.0,Rechazada
5,2022-02-08,20,13137.0,'transferencia bancaria',318000,30 días,Entre USD 5000 y USD 20000,persona natural,1,2022-01-29,2022-04-30,13.0,7.0,Aceptada
21,2022-01-01,21,6028.8,'transferencia bancaria',87000,120 días,Entre USD 1000 y USD 5000,persona natural,5,2021-12-22,2022-03-10,6.0,13.0,Aceptada
22,2022-06-14,22,9464.63,'transferencia bancaria',122000,30 días,Entre USD 20000 y USD 100000,persona jurídica,7,2022-06-04,2023-02-11,18.0,14.0,Aceptada
23,2022-08-31,23,34461.0,'cheque',541000,30 días,Más de USD 100000,persona jurídica,8,2022-08-21,2023-03-29,20.0,11.0,Aceptada
24,2022-05-02,24,8075.0,'cheque',174000,90 días,Entre USD 20000 y USD 100000,persona jurídica,6,2022-04-22,2022-04-30,1.0,8.0,Aceptada
25,2021-06-04,25,8019.0,'cheque',80000,30 días,Entre USD 1000 y USD 5000,persona natural,5,2021-05-25,2021-07-08,11.0,4.0,Aceptada
26,2022-07-01,26,36079.82,'transferencia bancaria',549000,60 días,Más de USD 100000,persona jurídica,8,2022-06-21,2022-08-02,7.0,6.0,Rechazada
27,2022-04-25,27,26488.0,'transferencia bancaria',399000,90 días,Más de USD 100000,persona jurídica,9,2022-04-15,2022-08-13,12.0,10.0,Aceptada
28,2022-02-16,28,89000.14,'cheque',775000,30 días,Entre USD 20000 y USD 100000,persona jurídica,6,2022-02-06,2022-02-22,16.0,1.0,Aceptada
5,2022-07-25,29,36370.0,'transferencia bancaria',943000,60 días,Entre USD 5000 y USD 20000,persona natural,1,2022-07-15,2023-03-03,21.0,11.0,Rechazada
30,2021-06-27,30,30352.0,'cheque',207000,120 días,Entre USD 20000 y USD 100000,persona jurídica,5,2021-06-17,2021-09-05,8.0,10.0,Aceptada
31,2022-07-28,31,10941.0,'cheque',186000,120 días,Entre USD 5000 y USD 20000,persona jurídica,9,2022-07-18,2023-08-13,23.0,17.0,Rechazada
32,2022-08-05,32,7758.0,'transferencia bancaria',120000,30 días,Entre USD 20000 y USD 100000,persona jurídica,7,2022-07-26,2022-07-26,,15.0,Aceptada
33,2022-05-14,33,12539.73,'cheque',96000,120 días,Entre USD 20000 y USD 100000,persona natural,4,2022-05-04,2022-09-01,15.0,8.0,Aceptada
2,2022-08-06,34,20503.53,'cheque',232000,90 días,Entre USD 20000 y USD 100000,persona natural,1,2022-07-27,2022-10-07,8.0,9.0,Aceptada
2,2022-07-14,35,21404.0,'cheque',449000,90 días,Entre USD 20000 y USD 100000,persona natural,1,2022-07-04,2022-09-12,7.0,10.0,Rechazada
36,2022-02-17,36,27980.45,'transferencia bancaria',407000,90 días,Entre USD 20000 y USD 100000,persona jurídica,7,2022-02-07,2022-05-26,9.0,12.0,Aceptada
37,2022-07-05,37,24468.0,'transferencia bancaria',284000,120 días,Entre USD 20000 y USD 100000,persona natural,2,2022-06-25,2022-08-16,13.0,4.0,Aceptada
38,2022-01-17,38,8358.0,'cheque',51000,60 días,Entre USD 20000 y USD 100000,persona natural,4,2022-01-07,2022-01-25,18.0,1.0,Aceptada
39,2021-06-07,39,10742.0,'transferencia bancaria',285000,60 días,Entre USD 5000 y USD 20000,persona jurídica,6,2021-05-28,2022-07-16,23.0,18.0,Aceptada
40,2022-06-27,40,3887.68,'transferencia bancaria',94000,120 días,Entre USD 1000 y USD 5000,persona natural,3,2022-06-17,2022-06-17,22.0,,Aceptada
7,2022-07-04,41,3777.0,'cheque',68000,120 días,Menos de USD 1000,persona jurídica,1,2022-06-24,2022-11-15,16.0,9.0,Rechazada
42,2022-05-06,42,6200.43,'transferencia bancaria',160000,60 días,Entre USD 1000 y USD 5000,persona jurídica,5,2022-04-26,2022-05-12,1.0,16.0,Rechazada
43,2022-07-20,43,30550.2,'transferencia bancaria',620000,90 días,Entre USD 20000 y USD 100000,persona jurídica,5,2022-07-10,2022-09-08,5.0,12.0,Aceptada
44,2022-08-26,44,18264.92,'transferencia bancaria',341000,90 días,Entre USD 5000 y USD 20000,persona jurídica,7,2022-08-16,2023-05-15,17.0,16.0,Rechazada
45,2022-06-07,45,20260.0,'transferencia bancaria',209000,60 días,Entre USD 20000 y USD 100000,persona jurídica,10,2022-05-28,2022-08-31,19.0,5.0,Aceptada
46,2022-04-23,46,17650.0,'cheque',119000,120 días,Entre USD 20000 y USD 100000,persona natural,4,2022-04-13,2022-05-07,4.0,6.0,Aceptada
47,2022-06-07,47,28633.86,'cheque',346000,60 días,Más de USD 100000,persona jurídica,7,2022-05-28,2022-08-16,20.0,4.0,Aceptada
48,2022-05-02,48,36433.34,'transferencia bancaria',491000,30 días,Entre USD 20000 y USD 100000,persona jurídica,7,2022-04-22,2023-02-05,17.0,17.0,Aceptada
49,2022-06-20,49,29227.0,'cheque',628000,120 días,Más de USD 100000,persona natural,5,2022-06-10,2022-06-11,1.0,1.0,Aceptada
50,2022-08-02,50,11713.24,'transferencia bancaria',188000,60 días,Entre USD 1000 y USD 5000,persona jurídica,6,2022-07-23,2022-11-20,12.0,10.0,Aceptada
51,2022-05-30,51,10528.2,'transferencia bancaria',93000,30 días,Entre USD 5000 y USD 20000,persona jurídica,8,2022-05-20,2022-12-26,20.0,11.0,Aceptada
52,2022-03-07,52,31426.95,'cheque',672000,120 días,Más de USD 100000,persona jurídica,9,2022-02-25,2022-11-24,16.0,17.0,Aceptada
53,2022-01-17,53,18520.0,'transferencia bancaria',434000,120 días,Entre USD 1000 y USD 5000,persona jurídica,10,2022-01-07,2022-03-14,11.0,6.0,Aceptada
54,2022-07-25,54,12444.48,'transferencia bancaria',103000,60 días,Entre USD 5000 y USD 20000,persona jurídica,9,2022-07-15,2023-01-21,19.0,10.0,Rechazada
55,2022-03-24,55,8059.0,'transferencia bancaria',50000,30 días,Entre USD 1000 y USD 5000,persona jurídica,5,2022-03-14,2022-08-01,20.0,7.0,Aceptada
56,2022-06-17,56,1590.85,'transferencia bancaria',34000,60 días,Entre USD 1000 y USD 5000,persona jurídica,4,2022-06-07,2022-09-25,22.0,5.0,Aceptada
57,2022-07-07,57,29887.48,'cheque',604000,120 días,Más de USD 100000,persona natural,4,2022-06-27,2022-09-19,12.0,7.0,Aceptada
58,2022-07-18,58,2074.0,'cheque',49000,60 días,Entre USD 1000 y USD 5000,persona jurídica,7,2022-07-08,2022-11-05,15.0,8.0,Aceptada
59,2022-03-07,59,23116.27,'cheque',563000,120 días,Entre USD 20000 y USD 100000,persona jurídica,9,2022-02-25,2022-08-31,17.0,11.0,Aceptada
5,2021-06-27,60,35590.0,'cheque',635000,60 días,Entre USD 5000 y USD 20000,persona natural,1,2021-06-17,2021-07-02,3.0,5.0,Rechazada
61,2022-07-30,61,25551.0,'transferencia bancaria',662000,120 días,Más de USD 100000,persona jurídica,10,2022-07-20,2022-09-06,4.0,12.0,Aceptada
5,2022-02-03,62,10414.0,'transferencia bancaria',268000,120 días,Entre USD 5000 y USD 20000,persona natural,1,2022-01-24,2022-07-23,18.0,10.0,Aceptada
63,2022-02-03,63,32528.0,'cheque',534000,120 días,Entre USD 20000 y USD 100000,persona jurídica,6,2022-01-24,2022-07-03,20.0,8.0,Aceptada
64,2022-01-03,64,22237.0,'transferencia bancaria',579000,30 días,Entre USD 5000 y USD 20000,persona natural,5,2021-12-24,2022-01-11,2.0,9.0,Rechazada
65,2022-02-18,65,38332.0,'cheque',529000,30 días,Entre USD 20000 y USD 100000,persona jurídica,6,2022-02-08,2022-11-01,14.0,19.0,Rechazada
66,2022-04-14,66,21650.93,'transferencia bancaria',224000,120 días,Más de USD 100000,persona jurídica,6,2022-04-04,2022-06-21,6.0,13.0,Aceptada
2,2022-05-05,67,8871.0,'transferencia bancaria',136000,90 días,Entre USD 20000 y USD 100000,persona natural,1,2022-04-25,2022-07-04,14.0,5.0,Aceptada
68,2021-06-29,68,3329.92,'transferencia bancaria',68000,90 días,Menos de USD 1000,persona jurídica,6,2021-06-19,2021-10-14,13.0,9.0,Rechazada
69,2022-05-31,69,4563.0,'transferencia bancaria',118000,90 días,Entre USD 1000 y USD 5000,persona jurídica,6,2022-05-21,2022-06-10,5.0,4.0,Rechazada
70,2022-05-03,70,7150.74,'transferencia bancaria',53000,30 días,Entre USD 20000 y USD 100000,persona jurídica,6,2022-04-23,2022-10-16,22.0,8.0,Rechazada
71,2022-01-05,71,11933.0,'cheque',289000,90 días,Entre USD 5000 y USD 20000,persona jurídica,10,2021-12-26,2022-09-08,16.0,16.0,Rechazada
1,2021-06-24,72,14974.0,'transferencia bancaria',368000,90 días,Entre USD 1000 y USD 5000,persona natural,1,2021-06-14,2021-08-25,12.0,6.0,Rechazada
73,2022-06-14,73,7809.0,'cheque',68000,120 días,Entre USD 20000 y USD 100000,persona jurídica,3,2022-06-04,2023-06-30,23.0,17.0,Rechazada
74,2022-07-21,74,13184.21,'transferencia bancaria',297000,120 días,Entre USD 1000 y USD 5000,persona jurídica,6,2022-07-11,2022-08-08,2.0,14.0,Rechazada
75,2022-05-06,75,17458.69,'transferencia bancaria',231000,60 días,Entre USD 1000 y USD 5000,persona natural,4,2022-04-26,2022-07-25,5.0,18.0,Aceptada
76,2022-07-24,76,75700.19,'cheque',1569000,30 días,Más de USD 100000,persona jurídica,9,2022-07-14,2022-09-09,19.0,3.0,Aceptada
77,2022-08-17,77,5711.19,'cheque',136000,120 días,Entre USD 20000 y USD 100000,persona jurídica,8,2022-08-07,2022-09-24,3.0,16.0,Rechazada
78,2022-04-02,78,33699.22,'transferencia bancaria',798000,90 días,Más de USD 100000,persona natural,3,2022-03-23,2022-03-25,1.0,2.0,Aceptada
79,2022-03-30,79,30979.0,'transferencia bancaria',457000,30 días,Más de USD 100000,persona natural,3,2022-03-20,2022-08-29,9.0,18.0,Rechazada
80,2022-02-07,80,26540.0,'cheque',486000,30 días,Más de USD 100000,persona jurídica,7,2022-01-28,2022-02-21,8.0,3.0,Aceptada
81,2022-05-05,81,22639.0,'cheque',276000,30 días,Más de USD 100000,persona jurídica,6,2022-04-25,2022-06-20,7.0,8.0,Rechazada
82,2022-02-04,82,19654.0,'transferencia bancaria',199000,30 días,Entre USD 1000 y USD 5000,persona jurídica,6,2022-01-25,2022-06-09,9.0,15.0,Aceptada
83,2022-05-20,83,29863.0,'transferencia bancaria',536000,90 días,Entre USD 20000 y USD 100000,persona natural,4,2022-05-10,2022-08-03,17.0,5.0,Aceptada
84,2021-06-08,84,18358.0,'cheque',223000,120 días,Entre USD 5000 y USD 20000,persona jurídica,8,2021-05-29,2021-06-22,2.0,12.0,Aceptada
5,2021-06-05,85,37844.0,'cheque',899000,60 días,Entre USD 5000 y USD 20000,persona natural,1,2021-05-26,2021-08-10,4.0,19.0,Rechazada
5,2022-05-07,86,20363.0,'cheque',189000,,Entre USD 5000 y USD 20000,persona natural,1,2022-04-27,2022-09-10,8.0,17.0,Rechazada
87,2022-06-16,87,20611.0,'transferencia bancaria',158000,90 días,Entre USD 20000 y USD 100000,persona jurídica,6,2022-06-06,2023-02-13,14.0,18.0,Rechazada
88,2022-04-25,88,6756.17,'cheque',105000,30 días,Entre USD 5000 y USD 20000,persona jurídica,9,2022-04-15,2023-01-06,19.0,14.0,Aceptada
5,2022-07-21,89,12647.64,'cheque',334000,30 días,Entre USD 5000 y USD 20000,persona natural,1,2022-07-11,2022-10-17,7.0,14.0,Aceptada
90,2022-07-08,90,37682.37,'cheque',983000,60 días,Entre USD 5000 y USD 20000,persona jurídica,8,2022-06-28,2022-09-08,6.0,12.0,Aceptada
91,2022-01-03,91,35430.0,'transferencia bancaria',700000,90 días,Entre USD 5000 y USD 20000,persona jurídica,8,2021-12-24,2022-01-05,12.0,1.0,Aceptada
92,2022-06-13,92,9756.11,'transferencia bancaria',199000,90 días,Entre USD 1000 y USD 5000,persona jurídica,6,2022-06-03,2022-08-26,6.0,14.0,Aceptada
93,2022-07-05,93,7890.0,'transferencia bancaria',168000,30 días,Entre USD 20000 y USD 100000,persona jurídica,9,2022-06-25,2022-06-27,1.0,2.0,Rechazada
94,2022-01-20,94,18575.73,'cheque',427000,90 días,Entre USD 5000 y USD 20000,persona jurídica,8,2022-01-10,2022-11-05,23.0,13.0,Aceptada
95,2021-06-28,95,19463.0,'cheque',384000,90 días,Entre USD 20000 y USD 100000,persona natural,3,2021-06-18,2021-12-15,18.0,10.0,Aceptada
96,2022-06-06,96,11674.0,'cheque',101000,90 días,Entre USD 20000 y USD 100000,persona jurídica,10,2022-05-27,2023-02-06,17.0,15.0,Rechazada
97,2022-06-06,97,21450.0,'transferencia bancaria',172000,90 días,Entre USD 5000 y USD 20000,persona jurídica,8,2022-05-27,2022-07-12,23.0,2.0,Aceptada
2,2022-05-02,98,39383.56,'transferencia bancaria',738000,60 días,Entre USD 20000 y USD 100000,persona natural,1,2022-04-22,2022-06-12,17.0,3.0,Rechazada
99,2022-08-27,99,38109.26,'transferencia bancaria',713000,90 días,Entre USD 20000 y USD 100000,persona natural,4,2022-08-17,2022-11-15,9.0,10.0,Aceptada
2,2022-07-23,100,10899.63,'transferencia bancaria',200000,90 días,Entre USD 20000 y USD 100000,persona natural,1,2022-07-13,2023-01-16,17.0,11.0,Aceptada
101,2022-05-13,101,23845.35,'transferencia bancaria',613000,120 días,Entre USD 5000 y USD 20000,persona jurídica,10,2022-05-03,2022-08-21,11.0,10.0,Aceptada
6,2022-02-13,102,24641.0,'cheque',571000,90 días,Más de USD 100000,persona natural,1,2022-02-03,2022-03-23,3.0,16.0,Rechazada
103,2022-01-14,103,25731.88,'transferencia bancaria',609000,120 días,Entre USD 20000 y USD 100000,persona jurídica,10,2022-01-04,2022-04-24,10.0,11.0,Aceptada
104,2022-04-24,104,3316.26,'transferencia bancaria',34000,60 días,Menos de USD 1000,persona jurídica,4,2022-04-14,2022-04-18,4.0,1.0,Aceptada
5,2022-08-26,105,11537.19,'transferencia bancaria',300000,60 días,Entre USD 5000 y USD 20000,persona natural,1,2022-08-16,2022-09-18,3.0,11.0,Aceptada
2,2022-02-05,106,10551.0,'cheque',134000,60 días,Entre USD 20000 y USD 100000,persona natural,1,2022-01-26,2022-03-03,3.0,12.0,Aceptada
6,2022-06-27,107,35747.93,'transferencia bancaria',478000,120 días,Más de USD 100000,persona natural,1,2022-06-17,2022-07-10,23.0,1.0,Aceptada
2,2021-06-08,108,38121.0,'cheque',582000,30 días,Entre USD 20000 y USD 100000,persona natural,1,2021-05-29,2022-02-08,15.0,17.0,Aceptada
2,2022-07-15,109,9333.22,'cheque',96000,30 días,Entre USD 20000 y USD 100000,persona natural,1,2022-07-05,2022-08-04,3.0,10.0,Aceptada
110,2022-06-21,110,17088.0,'cheque',154000,120 días,Entre USD 1000 y USD 5000,persona jurídica,10,2022-06-11,2023-04-30,19.0,17.0,Aceptada
111,2022-07-17,111,7509.0,'cheque',100000,30 días,Entre USD 5000 y USD 20000,persona natural,5,2022-07-07,2023-02-16,16.0,14.0,Rechazada
6,2022-03-02,112,20027.0,'transferencia bancaria',133000,90 días,Más de USD 100000,persona natural,1,2022-02-20,2022-11-17,18.0,15.0,Rechazada
113,2022-07-24,113,36302.57,'cheque',735000,60 días,Más de USD 100000,persona natural,4,2022-07-14,2022-08-22,3.0,13.0,Rechazada
114,2022-02-26,114,22790.0,'transferencia bancaria',205000,90 días,Más de USD 100000,persona jurídica,8,2022-02-16,2022-09-08,17.0,12.0,Rechazada
115,2022-01-31,115,26271.14,'transferencia bancaria',506000,120 días,Entre USD 5000 y USD 20000,persona jurídica,6,2022-01-21,2022-04-30,9.0,11.0,Rechazada
116,2022-04-25,116,28138.0,'cheque',725000,120 días,Más de USD 100000,persona jurídica,9,2022-04-15,2022-12-18,19.0,13.0,Rechazada
117,2022-04-27,117,24074.77,'cheque',615000,90 días,Entre USD 5000 y USD 20000,persona natural,3,2022-04-17,2022-06-08,13.0,4.0,Rechazada
118,2022-04-20,118,30553.0,'transferencia bancaria',526000,60 días,Más de USD 100000,persona natural,3,2022-04-10,2022-10-31,12.0,17.0,Aceptada
119,2022-08-21,119,10619.98,'cheque',194000,120 días,Entre USD 5000 y USD 20000,persona jurídica,10,2022-08-11,2023-01-20,18.0,9.0,Aceptada
120,2022-06-05,120,23612.26,'transferencia bancaria',251000,30 días,Más de USD 100000,persona jurídica,7,2022-05-26,2023-01-09,12.0,19.0,Aceptada
121,2022-02-02,121,21566.0,'transferencia bancaria',528000,60 días,Entre USD 20000 y USD 100000,persona natural,5,2022-01-23,2022-08-20,19.0,11.0,Aceptada
122,2022-05-27,122,7753.0,'cheque',83000,60 días,Entre USD 5000 y USD 20000,persona natural,3,2022-05-17,2023-01-10,17.0,14.0,Rechazada
123,2021-06-08,123,24654.1,'cheque',383000,30 días,Entre USD 20000 y USD 100000,persona natural,3,2021-05-29,2021-06-12,2.0,7.0,Rechazada
124,2022-03-17,124,35382.0,'transferencia bancaria',887000,90 días,Entre USD 20000 y USD 100000,persona natural,4,2022-03-07,2022-04-24,4.0,12.0,Rechazada
125,2022-03-22,125,18549.19,'cheque',453000,60 días,Entre USD 20000 y USD 100000,persona jurídica,6,2022-03-12,2022-06-04,12.0,7.0,Aceptada
126,2022-02-20,126,19210.74,'cheque',328000,60 días,Entre USD 20000 y USD 100000,persona jurídica,5,2022-02-10,2022-03-06,8.0,3.0,Rechazada
127,2022-03-02,127,33294.0,'transferencia bancaria',709000,90 días,Entre USD 20000 y USD 100000,persona natural,4,2022-02-20,2022-05-03,9.0,8.0,Rechazada
128,2021-06-01,128,17538.0,'cheque',292000,60 días,Entre USD 5000 y USD 20000,persona jurídica,6,2021-05-22,2021-07-29,4.0,17.0,Aceptada
1,2022-01-02,129,6736.28,'transferencia bancaria',110000,30 días,Entre USD 1000 y USD 5000,persona natural,1,2021-12-23,2022-07-11,20.0,10.0,Rechazada
130,2022-03-03,130,29969.0,'cheque',582000,30 días,Entre USD 5000 y USD 20000,persona natural,2,2022-02-21,2022-03-25,4.0,8.0,Rechazada
131,2022-01-17,131,4749.56,'transferencia bancaria',68000,60 días,Menos de USD 1000,persona jurídica,7,2022-01-07,2022-05-31,9.0,16.0,Rechazada
5,2022-08-28,132,32717.41,'cheque',876000,60 días,Entre USD 5000 y USD 20000,persona natural,1,2022-08-18,2023-03-01,13.0,15.0,Rechazada
2,2022-04-26,133,37780.0,'cheque',806000,30 días,Entre USD 20000 y USD 100000,persona natural,1,2022-04-16,2022-05-06,4.0,5.0,Rechazada
134,2022-05-27,134,31646.0,'transferencia bancaria',730000,120 días,Entre USD 5000 y USD 20000,persona jurídica,6,2022-05-17,2022-05-31,1.0,14.0,Aceptada
135,2022-06-23,135,26123.77,'transferencia bancaria',247000,90 días,Más de USD 100000,persona jurídica,9,2022-06-13,2022-07-01,18.0,1.0,Aceptada
136,2021-06-22,136,2008.0,'transferencia bancaria',20000,30 días,Menos de USD 1000,persona jurídica,5,2021-06-12,2022-02-19,21.0,12.0,Rechazada
137,2022-07-16,137,28209.78,'cheque',236000,120 días,Entre USD 20000 y USD 100000,persona jurídica,9,2022-07-06,2022-10-19,7.0,15.0,Aceptada
138,2022-04-27,138,27415.91,'transferencia bancaria',544000,30 días,Entre USD 5000 y USD 20000,persona jurídica,8,2022-04-17,2023-01-12,18.0,15.0,Aceptada
139,2022-03-07,139,9482.6,'transferencia bancaria',95000,60 días,Entre USD 1000 y USD 5000,persona jurídica,8,2022-02-25,2022-04-18,4.0,13.0,Aceptada
140,2021-06-06,140,4675.0,'transferencia bancaria',113000,90 días,Menos de USD 1000,persona jurídica,5,2021-05-27,2021-09-16,16.0,7.0,Aceptada
141,2021-06-22,141,21862.33,'cheque',410000,90 días,Más de USD 100000,persona natural,3,2021-06-12,2022-01-19,13.0,17.0,Rechazada
142,2022-03-07,142,30809.85,'transferencia bancaria',481000,90 días,Entre USD 5000 y USD 20000,persona natural,2,2022-02-25,2023-01-21,22.0,15.0,Rechazada
143,2022-05-23,143,26125.0,'cheque',469000,120 días,Entre USD 5000 y USD 20000,persona natural,3,2022-05-13,2022-07-12,15.0,4.0,Rechazada
2,2022-03-13,144,20674.72,'cheque',275000,30 días,Entre USD 20000 y USD 100000,persona natural,1,2022-03-03,2022-10-27,17.0,14.0,Rechazada
145,2022-08-27,145,35857.69,'transferencia bancaria',549000,120 días,Entre USD 5000 y USD 20000,persona natural,4,2022-08-17,2022-08-28,11.0,1.0,Rechazada
146,2022-03-28,146,36024.0,'transferencia bancaria',685000,90 días,Entre USD 20000 y USD 100000,persona natural,3,2022-03-18,2022-06-16,18.0,5.0,Rechazada
147,2022-06-23,147,3991.34,'cheque',37000,120 días,Menos de USD 1000,persona jurídica,7,2022-06-13,2022-09-01,5.0,16.0,Rechazada
2,2022-03-02,148,33811.85,'transferencia bancaria',832000,30 días,Entre USD 20000 y USD 100000,persona natural,1,2022-02-20,2022-03-10,1.0,18.0,Aceptada
149,2022-06-06,149,38457.0,'transferencia bancaria',766000,30 días,Más de USD 100000,persona natural,2,2022-05-27,2022-06-30,2.0,17.0,Rechazada
150,2022-03-31,150,20712.11,'cheque',444000,90 días,Más de USD 100000,persona jurídica,10,2022-03-21,2022-12-26,20.0,14.0,Aceptada
151,2022-01-05,151,4497.28,'cheque',43000,120 días,Menos de USD 1000,persona natural,2,2021-12-26,2022-01-14,1.0,19.0,Rechazada
152,2022-01-25,152,4581.57,'transferencia bancaria',68000,60 días,Entre USD 1000 y USD 5000,persona jurídica,10,2022-01-15,2022-03-02,23.0,2.0,Aceptada
153,2022-05-24,153,3763.11,'transferencia bancaria',68000,30 días,Menos de USD 1000,persona jurídica,7,2022-05-14,2023-04-21,19.0,18.0,Rechazada
154,2022-07-06,154,7068.0,'transferencia bancaria',147000,90 días,Entre USD 5000 y USD 20000,persona natural,2,2022-06-26,2022-07-24,7.0,4.0,Rechazada
155,2022-08-17,155,14769.54,'cheque',231000,90 días,Entre USD 5000 y USD 20000,persona jurídica,6,2022-08-07,2022-12-17,12.0,11.0,Rechazada
5,2022-07-27,156,10874.0,'transferencia bancaria',125000,60 días,Entre USD 5000 y USD 20000,persona natural,1,2022-07-17,2023-01-23,19.0,10.0,Rechazada
157,2022-01-02,157,34970.0,'transferencia bancaria',412000,30 días,Más de USD 100000,persona jurídica,8,2021-12-23,2022-11-11,19.0,17.0,Aceptada
2,2022-02-13,158,33209.43,'transferencia bancaria',573000,60 días,Entre USD 20000 y USD 100000,persona natural,1,2022-02-03,2022-05-09,19.0,5.0,Rechazada
159,2022-03-27,159,16062.88,'cheque',420000,60 días,Entre USD 20000 y USD 100000,persona natural,4,2022-03-17,2022-07-31,8.0,17.0,Aceptada
2,2021-06-02,160,7640.17,'transferencia bancaria',189000,90 días,Entre USD 20000 y USD 100000,persona natural,1,2021-05-23,2021-07-10,16.0,3.0,Rechazada
161,2022-04-21,161,6940.0,'transferencia bancaria',180000,90 días,Entre USD 1000 y USD 5000,persona natural,4,2022-04-11,2023-02-09,19.0,16.0,Rechazada
162,2022-08-22,162,13914.95,'cheque',170000,30 días,Entre USD 1000 y USD 5000,persona jurídica,8,2022-08-12,2023-05-03,22.0,12.0,Aceptada
163,2022-02-17,163,29531.33,'cheque',692000,120 días,Más de USD 100000,persona natural,4,2022-02-07,2022-04-04,14.0,4.0,Aceptada
1,2022-01-02,164,7424.0,'cheque',98000,120 días,Entre USD 1000 y USD 5000,persona natural,1,2021-12-23,2022-04-12,11.0,10.0,Aceptada
165,2022-08-03,165,5509.0,'transferencia bancaria',89000,30 días,Entre USD 5000 y USD 20000,persona jurídica,10,2022-07-24,2022-08-23,6.0,5.0,Aceptada
166,2022-04-05,166,17440.0,'transferencia bancaria',325000,30 días,Entre USD 20000 y USD 100000,persona natural,3,2022-03-26,2022-05-09,11.0,4.0,Rechazada
167,2021-06-26,167,10284.0,'transferencia bancaria',240000,90 días,Entre USD 1000 y USD 5000,persona jurídica,7,2021-06-16,2021-07-02,8.0,2.0,Aceptada
2,2022-07-21,168,39925.0,'cheque',507000,60 días,Entre USD 20000 y USD 100000,persona natural,1,2022-07-11,2023-01-03,11.0,16.0,Aceptada
169,2022-08-17,169,5833.0,'transferencia bancaria',151000,60 días,Entre USD 20000 y USD 100000,persona natural,2,2022-08-07,2022-10-26,5.0,16.0,Rechazada
170,2022-03-23,170,17037.16,'cheque',360000,90 días,Entre USD 20000 y USD 100000,persona jurídica,10,2022-03-13,2022-09-29,20.0,10.0,Rechazada
6,2022-05-07,171,21147.46,'cheque',368000,90 días,Más de USD 100000,persona natural,1,2022-04-27,2022-07-12,4.0,19.0,Aceptada
